feature,coef,odds_ratio
defasagem,1.2754962781614652,3.580477882233518
ipv_pct,-0.778062765066095,0.45929491217114643
rede_publica,0.3992685214509763,1.4907338588872552
fase_ideal_num,-0.3015156407914258,0.73969625682929
tamanho_turma,-0.2143854950916605,0.8070372161638826
ida_pct,-0.19001362375200218,0.8269478677339497
ieg_pct,0.13219732818754282,1.1413335143216012
idade_rel_fase_ideal,0.11162253845814708,1.1180907447273583
iaa_pct,0.10789483619012773,1.113930594041332
tempo_casa,-0.09544908430216965,0.9089646410444894
ips_pct,0.08853400285726973,1.0925714025283313
iaa_pct_ausente,-0.04781477489518967,0.9533103477343428
iaa_nao_respondeu,-0.04781477489518951,0.9533103477343429
genero_f,0.013717671108964206,1.0138121900580683
